speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
chics	Catalan - Spanish	L1	0.74	0.030000000000000023	2.0	to_L1
chics	Catalan - Spanish	L1	0.69375	0.015111194998600017	8.0	to_L2
swift	Spanish – Costa Rica (Valle Central)	L1	0.7304878048780487	0.00879267446973647	41.0	to_L1
swift	Spanish – Costa Rica (Valle Central)	L1	0.711111111111111	0.010225844768749812	36.0	to_L2
xmarabout	French - Belgium	L1	0.46	0.0	1.0	to_L1
xmarabout	French - Belgium	L1	0.6446666666666668	0.017751369274259125	15.0	to_L2
luklamainfroide	French	L1	0.675	0.014999999999999958	2.0	to_L1
luklamainfroide	French	L1	0.6733333333333332	0.05238744548500572	3.0	to_L2
proyoyo	French - Cantonese	L1	0.63	0.0	1.0	to_L1
proyoyo	French - Cantonese	L1	0.7133333333333334	0.05547772325697748	3.0	to_L2
MarcusK	French	L1	0.71	0.0	1.0	to_L1
MarcusK	French	L1	0.48	0.0	1.0	to_L2
Cal inhibes	Spanish	L1	0.7071428571428572	0.02112483144077984	7.0	to_L1
Cal inhibes	Spanish	L1	0.6	0.10016652800877814	3.0	to_L2
JeanDeSponde	France, Français	L1	0.54	0.0	1.0	to_L1
JeanDeSponde	France, Français	L1	0.6712499999999999	0.04962133397757748	8.0	to_L2
Michelvar	French from France	L1	0.75	0.0	1.0	to_L1
Michelvar	French from France	L1	0.6823076923076924	0.01415635429282219	26.0	to_L2
Grop	français	L1	0.62	0.0	1.0	to_L1
Grop	français	L1	0.7075	0.036142080737002404	4.0	to_L2
Me-K	french	L1	0.795	0.0050000000000000044	2.0	to_L1
Me-K	french	L1	0.738	0.019203174340767327	15.0	to_L2
xav	France	L1	0.77	0.0	1.0	to_L1
xav	France	L1	0.7625	0.02780137886268713	4.0	to_L2
StefKE	French - Belgium	L1	0.76	0.0	1.0	to_L1
StefKE	French - Belgium	L1	0.6766666666666666	0.048074017006186534	3.0	to_L2
Cintia&Martine	Français	L2	0.74	0.030000000000000023	2.0	to_L1
Cintia&Martine	Français	L2	0.740909090909091	0.01179017660863526	11.0	to_L2
Grégory80	French	L1	0.68	0.0	1.0	to_L1
Grégory80	French	L1	0.685	0.014999999999999958	2.0	to_L2
jann	English - USA	L2	0.745	0.025000000000000022	2.0	to_L1
jann	English - USA	L2	0.6846153846153846	0.02052563702173282	13.0	to_L2
lectrice	Russian/Moscow	L2	0.76	0.0	1.0	to_L1
lectrice	Russian/Moscow	L2	0.7	0.0	1.0	to_L2
Kaitchou23	French - France	L1	0.78	0.0	1.0	to_L1
Kaitchou23	French - France	L1	0.7050000000000001	0.054999999999999986	2.0	to_L2
nopal	french of FRANCE	L1	0.73	0.0	1.0	to_L1
nopal	french of FRANCE	L1	0.7583333333333334	0.014240006242195883	6.0	to_L2
Víctor Pérez	Español peninsular Français	L1	0.715	0.010878112581387142	6.0	to_L1
Víctor Pérez	Español peninsular Français	L1	0.6654545454545455	0.019742139350022385	11.0	to_L2
Jeanne75	French - France	L1	0.7	0.0	1.0	to_L1
Jeanne75	French - France	L1	0.728	0.025681813712344296	10.0	to_L2
agnelo	French	L1	0.75	0.0	1.0	to_L1
agnelo	French	L1	0.7125	0.024694562732946467	8.0	to_L2
Domtom	español, català	L1	0.665	0.015000000000000012	2.0	to_L1
Domtom	español, català	L1	0.687142857142857	0.021874481379813168	14.0	to_L2
Talant	Spanish-ES	L1	0.7242857142857143	0.011308897225750406	7.0	to_L1
Talant	Spanish-ES	L1	0.6588235294117647	0.016953273867005406	17.0	to_L2
lamy08	French	L1	0.6799999999999999	0.08000000000000002	2.0	to_L1
lamy08	French	L1	0.712	0.05063595560468865	5.0	to_L2
utrerana	español	L1	0.8	0.0	1.0	to_L1
utrerana	español	L1	0.67	0.010000000000000009	2.0	to_L2
Lusios	french	L1	0.76	0.0	1.0	to_L1
Lusios	french	L1	0.7366666666666667	0.017638342073763955	3.0	to_L2
betikote	Español - España	L1	0.74	0.0	1.0	to_L1
betikote	Español - España	L1	0.5833333333333334	0.03527668414752788	3.0	to_L2
PhilFrEn	français - France	L1	0.64	0.0	1.0	to_L1
PhilFrEn	français - France	L1	0.754	0.023790754506740657	5.0	to_L2
Zampaglione	Français	L1	0.67	0.0	1.0	to_L1
Zampaglione	Français	L1	0.6716666666666667	0.04222295321004653	6.0	to_L2
benjbenj	french - France	L1	0.6950000000000001	0.014999999999999958	2.0	to_L1
benjbenj	french - France	L1	0.635	0.0050000000000000044	2.0	to_L2
Namarne	Spanish	L1	0.6907142857142857	0.013838912352021154	28.0	to_L1
Namarne	Spanish	L1	0.6908943089430896	0.0061933915179826415	123.0	to_L2
skop	français — France	L1	0.75	0.0	1.0	to_L1
skop	français — France	L1	0.7050000000000001	0.06499999999999999	2.0	to_L2
Destilleuls	french	L1	0.69	0.0	1.0	to_L1
Destilleuls	french	L1	0.76	0.0	1.0	to_L2
Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	0.6699999999999999	0.020816659994661323	3.0	to_L1
Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	0.6712499999999999	0.01986000107898141	8.0	to_L2
Miguelillo 87	México español	L1	0.6699999999999999	0.07	2.0	to_L1
Miguelillo 87	México español	L1	0.73	0.01527525231651948	3.0	to_L2
marcoszorrilla	Español - España	L1	0.75	0.0	1.0	to_L1
marcoszorrilla	Español - España	L1	0.725	0.03329164059239697	4.0	to_L2
enoo	French - France	L1	0.75	0.0	1.0	to_L1
enoo	French - France	L1	0.665	0.024999999999999963	2.0	to_L2
Rushes	French - France	L1	0.78	0.0	1.0	to_L1
Rushes	French - France	L1	0.77	0.0	1.0	to_L2
Orbayu	Español-España	L1	0.558	0.03679673898594821	5.0	to_L1
Orbayu	Español-España	L1	0.6729411764705882	0.013632916099796223	17.0	to_L2
Wozzeck	French	L1	0.7050000000000001	0.054999999999999986	2.0	to_L1
Wozzeck	French	L1	0.62	0.0	1.0	to_L2
lospazio	Castellano - Argentina	L1	0.6525	0.04732423621500227	4.0	to_L1
lospazio	Castellano - Argentina	L1	0.595	0.044999999999999984	2.0	to_L2
