speaker	lang	ltype	ave_ttr	se	nmessages	to_whom
cacarulo	Buenos Aires, Argentina * Español	L1	0.614375	0.026567033926779754	16.0	to_L2
Colchonero	Español	L1	0.74	0.0	1.0	to_L1
Colchonero	Español	L1	0.71	0.02516611478423583	4.0	to_L2
ErOtto	Bilingual: Spanish (Spain) / German (Germany)	L2	0.74	0.0	1.0	to_L1
ErOtto	Bilingual: Spanish (Spain) / German (Germany)	L2	0.6633333333333332	0.04055175020198814	3.0	to_L2
blasita	Spain. Left four years ago	L2	0.7275	0.029545163168726404	4.0	to_L1
blasita	Spain. Left four years ago	L2	0.7114285714285714	0.020520439453728806	7.0	to_L2
ukimix	español	L2	0.6840625000000002	0.014346373143726337	32.0	to_L1
ukimix	español	L2	0.6544444444444445	0.015573859804549926	27.0	to_L2
aldonzalorenzo	Spanish	L2	0.7370000000000001	0.01850225211517056	10.0	to_L1
aldonzalorenzo	Spanish	L2	0.7471428571428572	0.02884393851601487	7.0	to_L2
ACQM	Spain - Spanish	L2	0.6891304347826086	0.01504818405230478	23.0	to_L1
ACQM	Spain - Spanish	L2	0.6680701754385964	0.008280932731156956	57.0	to_L2
tusi	español-España	L1	0.685	0.03175426480542942	4.0	to_L1
tusi	español-España	L1	0.657	0.018859126879754183	10.0	to_L2
JeSuisSnob	Mexican Spanish	L2	0.7170000000000001	0.020113566455394125	10.0	to_L1
JeSuisSnob	Mexican Spanish	L2	0.73	0.010000000000000009	2.0	to_L2
jorgema	Peruvian Spanish	L1	0.6869999999999999	0.012999999999999994	10.0	to_L1
jorgema	Peruvian Spanish	L1	0.6983333333333334	0.01740051084818425	6.0	to_L2
Ayutuxtepeque	Español salvadoreño	L2	0.741111111111111	0.01209680152424272	18.0	to_L1
Ayutuxtepeque	Español salvadoreño	L2	0.71	0.01472555959083246	20.0	to_L2
Duometri	Spain, Spanish	L1	0.6533333333333333	0.025927248643506737	9.0	to_L1
