message_id	ttr	speaker	lang	ltype	topic	topicstarter	topicstarter_lang	topicstarter_ltype
post16343329	0.64	jilar	Español	L1	post16343191	El decidor	Castellano	L1
post16341184	0.68	Miguel On Ojj	Castellano	L1	post16341105	Gepiept	.	L2
post1244210	0.64	Talant	Spanish-ES	L1	post1244177	Sidjanga	German;southern tendencies	L2
post16337602	0.69	Peón	Castellano	L1	post16337557	bacchebenevenies	Español (Argentina)	L1
post16339454	0.7	dexterciyo	Español - Canarias	L1	post16339423	Lady_HHCHH	Español-México	L1
post16337349	0.64	swift	Spanish – Costa Rica (Valle Central)	L1	post16337220	bacchebenevenies	Español (Argentina)	L1
post16337526	0.74	jilar	Español	L1	post16337394	bacchebenevenies	Español (Argentina)	L1
post16338413	0.66	jilar	Español	L1	post16338081	Y1818	Spanish - Mexico	L1
post16337543	0.63	jilar	Español	L1	post16337284	Programático	Español -Argentina-	L1
post2225471	0.73	relativamente	catalan and spanish	L1	post2225311	Crisipo de Soli	Castellano, Méjico	L1
post11684723	0.75	hablante.mx	Mexico español spanish	L1	post10246723	Guilargar	Español mexicano	L1
post16329289	0.66	Namarne	Spanish	L1	post16329248	giorgina_ft	italiano - italia	L2
post16322866	0.79	jilar	Español	L1	post16317764	soldatic	serbian, Serbia	L2
post16326557	0.65	Ayutuxtepeque	Español salvadoreño	L1	post16326498	Toddy96	Spanish - Argentina	L1
post16322896	0.61	jilar	Español	L1	post16322863	olagaja	Corea del Sur - coreano	L2
post11662007	0.71	Pixidio	Español	L1	post11661981	añosluz	Español mexicano	L1
post12958192	0.77	Jonno	Castellano	L1	post12958151	AnderAstur	español/castellano-España	L1
post3010400	0.7	Betildus	Chile - Español	L1	post3010296	Lullaby_	Spain, Spanish	L1
post16293266	0.64	Xiscomx	Español de España y Balear	L1	post16293069	Phil Hanthrop	French	L2
post16310745	0.79	Ayutuxtepeque	Español salvadoreño	L1	post16310710	semillas	Spanish	L1
post16308277	0.67	Namarne	Spanish	L1	post16308186	marcinnek	czech	L2
post5468817	0.66	Andrés Wang	Chinese	L2	post5468437	Andrés Wang	Chinese	L2
post16303659	0.68	Miguel On Ojj	Castellano	L1	post16303606	Gepiept	.	L2
post16297768	0.71	Quiviscumque	Spanish-Spain	L1	post16297736	Señor K	Español chileno	L1
post16300442	0.69	Xiscomx	Español de España y Balear	L1	post16300357	semillas	Spanish	L1
post16299180	0.68	jilar	Español	L1	post16298829	irmayeh	Mandrin, Taiwan	L2
post16289103	0.37	Quique Alfaro	castellano	L1	post16289096	LuanBrasileño	Português do Brasil	L2
post16291054	0.72	jilar	Español	L1	post16291022	Mabelen1278	Spanish	L1
post4649266	0.7	Kangy	Argentina [Spanish]	L1	post4648990	beatrizg	Colombia, Spanish	L1
post16283258	0.6	Plain Language	Spanish-Spain	L1	post16282474	Oliver166	Spanish-Colombia	L1
post16281603	0.82	Xiscomx	Español de España y Balear	L1	post16281471	Marth Lowell	Spanish - Mexico	L1
post16279892	0.6	Xiscomx	Español de España y Balear	L1	post16279853	Nigar555	azerbaiyano	L2
post16278948	0.69	Xiscomx	Español de España y Balear	L1	post16278832	David131	Castellano-España	L1
post16277329	0.68	Alemanita	German, Germany	L2	post16277276	fabo007	Español - Colombia	L1
post16277571	0.69	jilar	Español	L1	post16277487	eno2	Dutch-Flemish	L2
post16276698	0.62	Señor K	Español chileno	L1	post16276598	Readomingues	Portuguese - Brazil	L2
post1505965	0.72	solysombra	Argentina (Castellano)	L1	post1505875	lazarus1907	Spanish, Spain	L1
post16271792	0.72	jilar	Español	L1	post16271701	vivanco5555	Spanish	L1
post16272289	0.62	Quiviscumque	Spanish-Spain	L1	post16272229	pinard	turc-Turquie	L2
post16256684	0.7	Aviador	Castellano de Chile	L1	post16256526	Leeduschka	Czech	L2
post16259085	0.58	franzjekill	Español rioplatense	L1	post16258742	tuzi	Chinese	L2
post16257166	0.67	Natalinya	castellano y gallego	L1	post16257145	The Virgin	Arabic	L2
post16253927	0.72	Señor K	Español chileno	L1	post16253883	anna_karenina	romanian	L2
post16251840	0.73	Namarne	Spanish	L1	post16251765	Armine_Rahim	Russian-Belarus	L2
post16248209	0.62	jilar	Español	L1	post16248188	Lekurkizu	ESPAÑOL	L1
post16250815	0.68	jilar	Español	L1	post16250724	senorpregunta	Persian	L2
post16241109	0.74	Xiscomx	Español de España y Balear	L1	post16240856	J.J Alvarado	spanish	L1
post13932283	0.84	jazmin1492	Español	L1	post9978086	campito	" mexican spanish"	L1
post16241676	0.73	Dave Ugidos	Spanish - Spain	L1	post16241627	airelibre	English - London	L2
post16238840	0.71	Ayutuxtepeque	Español salvadoreño	L1	post16238818	Benita333	Chinese	L2
post15450630	0.75	Jonno	Castellano	L1	post15450555	Gamen	Spanish Argentina	L1
post16225523	0.62	Duometri	Spain, Spanish	L1	post16225487	planeadorum	español-américa latina	L1
post16218309	0.58	Namarne	Spanish	L1	post16218101	gemazul	Italian - Italy	L2
post6152857	0.75	Pinairun	Castellano	L1	post6151480	Rukshana	Russian	L2
post15607495	0.72	Neo1961	Castellano	L1	post15607466	Miguelito1986	English-United States (Pacific Northwest)	L2
post1134244	0.74	aleCcowaN	Castellano - Argentina	L1	post1134162	Daniel López	Spanish	L1
post16203855	0.7	Plain Language	Spanish-Spain	L1	post16202987	Usuario123abc	Español	L1
post16204751	0.68	jilar	Español	L1	post16204708	Ricardo_Obed	Español mexicano	L1
post16196707	0.6	Jonno	Castellano	L1	post16196658	ruloog	Mexican Spanish	L1
post16192746	0.64	Tömk	Español	L1	post16192297	kunvla	Ruso	L2
post16195831	0.69	Alemanita	German, Germany	L2	post16195796	Languagelearner123456	English-UK	L2
post16195467	0.73	Cebolleta	Spanish (Spain)	L1	post16195335	fallu3jp	Japanese	L2
post16188850	0.72	soplamocos	Español rioplatense	L1	post16188742	suleyman	turkish	L2
post16187361	0.64	jilar	Español	L1	post16187312	senorpregunta	Persian	L2
post14022281	0.66	Gamen	Spanish Argentina	L1	post14022009	lolataotao	chino	L2
post16176686	0.75	Aviador	Castellano de Chile	L1	post16176662	anna_karenina	romanian	L2
post16177527	0.66	palomamapola	Italian	L2	post16177359	kornilios	greek	L2
post9293184	0.79	didakticos	Español de Costa Rica (y de otras partes también)	L1	post9293156	Alma Shofner	Mexican Spanish from Sonora	L1
post16170818	0.59	Namarne	Spanish	L1	post16170798	yea sun	coreano	L2
post16173121	0.66	jilar	Español	L1	post16173067	kunvla	Ruso	L2
post16170702	0.73	Namarne	Spanish	L1	post16170530	Geviert	Spanisch	L1
post13523248	0.75	Peón	Castellano	L1	post13523170	Julvenzor	Español propio (Andalucía, España)	L1
post16166746	0.77	Ayutuxtepeque	Español salvadoreño	L1	post16166720	Señor K	Español chileno	L1
post16161890	0.74	Calambur	Castellano (rioplatense) - Lunfardo	L1	post16161410	soplamocos	Español rioplatense	L1
post13492719	0.75	kunvla	Ruso	L2	post13491774	DaviD-is-Cute	Castellano	L1
post16162599	0.6	soplamocos	Español rioplatense	L1	post16162465	kornilios	greek	L2
post12332798	0.69	clares3	español España	L1	post12330592	JuniorGustabo	Español Costa Rica	L1
post16151315	0.61	jilar	Español	L1	post16151284	Gise05	Spanish-Argentina	L1
post16146924	0.78	Agró	Spanish-Navarre	L1	post16146678	alejandroweicz	Chinese	L2
post16145293	0.78	swift	Spanish – Costa Rica (Valle Central)	L1	post16145274	onbalance	English - United States	L2
post12328045	0.72	Martoo	Español (porteño)	L1	post12327185	200mm	Spanish-Argentina	L1
post16139369	0.69	soplamocos	Español rioplatense	L1	post16139333	bacchebenevenies	Español (Argentina)	L1
post16140384	0.73	Duometri	Spain, Spanish	L1	post16139969	Benita333	Chinese	L2
post16140033	0.77	Agró	Spanish-Navarre	L1	post16139980	fellohr	german	L2
post16138683	0.58	Peón	Castellano	L1	post16138310	anna_karenina	romanian	L2
post16133981	0.75	Calambur	Castellano (rioplatense) - Lunfardo	L1	post16133765	kunvla	Ruso	L2
post16137086	0.6	soplamocos	Español rioplatense	L1	post16136492	gunnros	Greek	L2
post16134467	0.71	Taldea	Spanish-España	L1	post16133829	Nigar555	azerbaiyano	L2
post16131875	0.69	Xiscomx	Español de España y Balear	L1	post16131854	suleyman	turkish	L2
post16132594	0.61	jilar	Español	L1	post16132569	The Virgin	Arabic	L2
post13662123	0.69	blasita	Spain. Left four years ago	L2	post13662031	Eraser_Ed	Italian	L2
post16106445	0.66	jilar	Español	L1	post16104176	popolvuh	Chinese, China	L2
post16128084	0.66	jilar	Español	L1	post16127453	Kaho	Japanese-Japan	L2
post16127516	0.75	Jonno	Castellano	L1	post16127451	Keisuke j fox	japanese-japan	L2
post16125597	0.71	jilar	Español	L1	post16125079	RamonRojo	italiano	L2
post16125153	0.59	Quiviscumque	Spanish-Spain	L1	post16125113	Cristobal85m	polish	L2
post16124036	0.74	Ayutuxtepeque	Español salvadoreño	L1	post16123928	rlilloy	spanish	L1
post16117495	0.7	Namarne	Spanish	L1	post16117377	BulentKa	Turkish	L2
post16116876	0.78	aronhxc	Español - Perú	L1	post16116771	skiedge1	English - United States	L2
post16118092	0.71	Plain Language	Spanish-Spain	L1	post16118066	galiiski	Bulgarian-Sofia	L2
post16114744	0.67	Aviador	Castellano de Chile	L1	post16114710	speakec	English - USA	L2
post16108983	0.71	jilar	Español	L1	post16108926	The Virgin	Arabic	L2
post16103229	0.77	Miguel On Ojj	Castellano	L1	post16103056	The Virgin	Arabic	L2
post16093181	0.61	Jonno	Castellano	L1	post16093160	septemwuhan	Chino	L2
post16092227	0.69	Xiscomx	Español de España y Balear	L1	post16092099	kornilios	greek	L2
post16090449	0.66	Kaxgufen	Castellano de Argentina	L1	post16090429	popolvuh	Chinese, China	L2
post16085700	0.7	Miguel On Ojj	Castellano	L1	post16085583	kornilios	greek	L2
post14727013	0.73	engranaje	Castellano	L1	post14726982	memeta	español	L1
post16080767	0.75	Kaxgufen	Castellano de Argentina	L1	post16080523	osa_menor	alemán	L2
post16078851	0.75	jilar	Español	L1	post16078763	blakern1	English - American	L2
post16074250	0.7	Miguel On Ojj	Castellano	L1	post16074088	cinoio	Korean - South Korea	L2
post16075235	0.72	jilar	Español	L1	post16074993	cinoio	Korean - South Korea	L2
post16074233	0.65	jilar	Español	L1	post16074184	Lizzy2589	English-USA	L2
post10158680	0.72	Pixidio	Español	L1	post10158627	Hiro Sasaki	Japan, Japanese	L2
post16065677	0.6	Jay Lang	Spanish (from Spain)	L1	post16065560	RamonRojo	italiano	L2
post16070937	0.67	Agró	Spanish-Navarre	L1	post16070933	romeoxjulieta	Spanish - Spain	L1
post16065921	0.58	Kaxgufen	Castellano de Argentina	L1	post16065876	gunnros	Greek	L2
post16066659	0.64	jilar	Español	L1	post16065895	kornilios	greek	L2
post16063661	0.71	Duometri	Spain, Spanish	L1	post16063036	popolvuh	Chinese, China	L2
post5123757	0.73	wamcon	Español	L1	post5122754	Oxalc	Standard european spanish	L1
post5955176	0.68	Xiroi	España	L1	post5953737	ainarra	ruso	L2
post15460064	0.67	ukimix	español	L1	post15459979	amoelreyleon	Alemán - Austria	L2
post16057962	0.7	nelliot53	Spanish-[PR]; English-[US]	L1	post16057935	fiper	Español	L1
post6784054	0.61	Lamunt	Catalonia (Spain), Catalan & Spanish	L1	post6783621	Marcin1985	polish	L2
post16050860	0.78	jilar	Español	L1	post16050766	kornilios	greek	L2
post16052114	0.68	jilar	Español	L1	post16051833	beri	France	L2
post2625084	0.64	Bocha	castellano	L1	post2624775	patagonical	United States Spanish	L1
post16039357	0.71	Kaxgufen	Castellano de Argentina	L1	post16036026	popolvuh	Chinese, China	L2
post16028718	0.7	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post16027660	Usuario123abc	Español	L1
post16041437	0.73	Namarne	Spanish	L1	post16041365	totomix007	arabic	L2
post16036433	0.77	oa2169	Español	L1	post16036337	Señor K	Español chileno	L1
post16024678	0.73	soplamocos	Español rioplatense	L1	post16024240	suleyman	turkish	L2
post16034243	0.68	swift	Spanish – Costa Rica (Valle Central)	L1	post16034221	kornilios	greek	L2
post16029608	0.64	Rodal	Castellano (Chile)	L1	post16029522	bacchebenevenies	Español (Argentina)	L1
post13413568	0.67	Namarne	Spanish	L1	post13413558	Topito	Español (castellano)	L1
post16028274	0.76	Jay Lang	Spanish (from Spain)	L1	post16027950	kornilios	greek	L2
post16027329	0.67	Navar	Español (España)	L1	post16027187	galiiski	Bulgarian-Sofia	L2
post16027022	0.63	soplamocos	Español rioplatense	L1	post16026818	osa_menor	alemán	L2
post16025331	0.68	de auditu	Mexican Spanish	L1	post16025261	aigüense	Spanish - Uruguay	L1
post16024720	0.62	soplamocos	Español rioplatense	L1	post16024570	dudana	serbio	L2
post16021446	0.67	S.V.	Español, México	L1	post16021357	El Violinista	Spanish-Spain	L1
post16018541	0.72	Aviador	Castellano de Chile	L1	post16018458	Señor K	Español chileno	L1
post15999138	0.64	Namarne	Spanish	L1	post15998926	Tubbiefox	Español	L1
post16016040	0.59	jilar	Español	L1	post16015943	Espy	Greek	L2
post16015199	0.64	Namarne	Spanish	L1	post16015051	kornilios	greek	L2
post16002423	0.65	Señor K	Español chileno	L1	post16002308	mipordos	italiano - italia	L2
post16006415	0.76	El Violinista	Spanish-Spain	L1	post16006370	alv	spain	L2
post16003359	0.78	Miguel On Ojj	Castellano	L1	post16003282	will-wonka	Español-Perú	L1
post16006636	0.74	Kaxgufen	Castellano de Argentina	L1	post16006285	Languagelearner123456	English-UK	L2
post16007550	0.76	Calambur	Castellano (rioplatense) - Lunfardo	L1	post16007323	totor	Castellano rioplatense	L1
post15990132	0.68	Peón	Castellano	L1	post15990060	anna_karenina	romanian	L2
post15987859	0.67	Artemisa Ask	Español - Chile	L1	post15987783	kornilios	greek	L2
post15990829	0.61	sergio11	Spanish (lunfardo)	L1	post15990809	kornilios	greek	L2
post15978359	0.67	Marxelo	Castellano Rioplatense	L1	post15978151	anna_karenina	romanian	L2
post15985891	0.68	jilar	Español	L1	post15985743	Chapaleta	Spanish - Venezuela	L1
post15982277	0.44	ukimix	español	L1	post15982239	Gazda	Hungarian	L2
post15981321	0.72	Quique Alfaro	castellano	L1	post15980999	jlemonde	French - Switzerland	L2
post15980922	0.63	Quiviscumque	Spanish-Spain	L1	post15980863	The Virgin	Arabic	L2
post15976337	0.69	Miguel On Ojj	Castellano	L1	post15976325	liroy	Chinese	L2
post5793043	0.73	Jessixela	Spanish	L1	post5792883	josepeluco	English - United States	L2
post15976029	0.75	mrverns	Spanish - Chile	L1	post15975923	Myrosa	French/ English	L2
post15975538	0.65	Aviador	Castellano de Chile	L1	post15975498	elpoetaborracho	ESPAÑOL	L1
post10756217	0.72	Jonno	Castellano	L1	post10756107	vante04	Uruguay Spanish	L1
post15967257	0.71	Ayutuxtepeque	Español salvadoreño	L1	post15967124	hablanteprincipiante	English - United States	L2
post15966161	0.69	Namarne	Spanish	L1	post15966120	Leonidof	Polish	L2
post15960688	0.68	Jonno	Castellano	L1	post15960420	Cincidela	Polish	L2
post15962621	0.57	Namarne	Spanish	L1	post15962537	popolvuh	Chinese, China	L2
post15956752	0.78	Peón	Castellano	L1	post15956662	anna_karenina	romanian	L2
post15954542	0.73	S.V.	Español, México	L1	post15954427	gunnros	Greek	L2
post15950252	0.67	elaltavoz	Castellano (de España) y Catalán	L1	post15950220	Languagelearner123456	English-UK	L2
post15945656	0.23	Kaxgufen	Castellano de Argentina	L1	post15945617	Alexis Advance	Chile - Language: Spanish/Español	L1
post15950281	0.73	elaltavoz	Castellano (de España) y Catalán	L1	post15950218	Languagelearner123456	English-UK	L2
post15947029	0.77	Señor K	Español chileno	L1	post15947017	jprr	french - France	L2
post2637637	0.68	emergentologo	Argentina - argentino (CAST)	L2	post2636641	mirx	Español	L1
post15939391	0.75	Namarne	Spanish	L1	post15939385	Roumoncalm	Français - Belgique	L2
post9670246	0.73	Fer BA	Castellano de Buenos Aires	L1	post9669167	JorgeHoracio	Spanish - Argentina	L1
post15932212	0.76	Peón	Castellano	L1	post15932105	anna_karenina	romanian	L2
post15934343	0.75	Miguel On Ojj	Castellano	L1	post15934315	Gepiept	.	L2
post15937065	0.6	Doraemon-	"Spanish - Spain" "Catalan - Valencia"	L1	post15936536	Don Camilo	Polish	L2
post15936064	0.49	S.V.	Español, México	L1	post15935722	MoonLight_lights	Spanish!	L1
post15929204	0.73	Jonno	Castellano	L1	post15929155	Cincidela	Polish	L2
post15926770	0.69	Miguel On Ojj	Castellano	L1	post15926564	kornilios	greek	L2
post15915350	0.75	soplamocos	Español rioplatense	L1	post15913969	suleyman	turkish	L2
post15919495	0.75	Namarne	Spanish	L1	post15919452	gepeta	Spanish - Spain	L1
post15921941	0.62	Jonno	Castellano	L1	post15921801	Gemmenita	Azéri	L2
post15921346	0.71	Ayutuxtepeque	Español salvadoreño	L1	post15921119	acovados	English - United States	L2
post15912219	0.74	soplamocos	Español rioplatense	L1	post15912023	Rasmus1504	Danés	L2
post15904945	0.73	Miguel On Ojj	Castellano	L1	post15904717	Starostina	Russian-Russia	L2
post15907701	0.71	bacchebenevenies	Español (Argentina)	L1	post15907614	jpaulopf	Português - Brasil	L2
post15895942	0.61	Honorato	Español (o Castellano)	L1	post15895687	Programático	Español -Argentina-	L1
post15900662	0.64	soplamocos	Español rioplatense	L1	post15900572	kornilios	greek	L2
post15898962	0.67	Kaxgufen	Castellano de Argentina	L1	post15898917	The Virgin	Arabic	L2
post15884015	0.66	Kaxgufen	Castellano de Argentina	L1	post15883704	ukimix	español	L1
post15897147	0.64	Jay Lang	Spanish (from Spain)	L1	post15896885	kornilios	greek	L2
post15895007	0.71	Jay Lang	Spanish (from Spain)	L1	post15894971	jlemonde	French - Switzerland	L2
post15881203	0.68	Lord Delfos	Castellano (Argentina)	L1	post15881183	José Mora	Español mexicano	L1
post15891070	0.62	Aviador	Castellano de Chile	L1	post15890998	jazzanova	Ruso	L2
post15881809	0.63	Jonno	Castellano	L1	post15881767	oculi	Polish - Poland	L2
post15891186	0.56	Natalinya	castellano y gallego	L1	post15891136	The Virgin	Arabic	L2
post15889214	0.64	Jonno	Castellano	L1	post15889102	Bliss1990	spanish - mexico	L1
post15882798	0.63	Quiviscumque	Spanish-Spain	L1	post15882556	Gepiept	.	L2
post12529399	0.72	EduardoGonzalez	español de España, La Mancha (C. Real)	L1	post12529359	rictus	Catalán	L2
post5979586	0.73	Talant	Spanish-ES	L1	post5979510	lady jekyll	Spanish	L1
post15878640	0.79	Miguel On Ojj	Castellano	L1	post15878566	SirPeibol	Spanish - Argentina	L1
post15864622	0.52	Jaén	México, español/portugués/inglés	L1	post15864586	Gemmenita	Azéri	L2
post15864446	0.58	S.V.	Español, México	L1	post15864265	Einat	hebrew	L2
post15573728	0.73	soplamocos	Español rioplatense	L1	post15573437	Narvalt	Spanish-México	L1
post12319401	0.72	Jaime Bien	Español/España	L1	post12319382	kroons	English - UK	L2
post15867924	0.7	Namarne	Spanish	L1	post15867663	kornilios	greek	L2
post15495688	0.69	Jonno	Castellano	L1	post15495566	Wladimir	ruso	L2
post15846160	0.61	PavkaGuru	Ecuador - español	L1	post15845868	mrpolanco	Spanish	L1
post15845384	0.6	rainingmind	Castellano, España	L1	post15845360	Njanjaj	Dutch	L2
post9996688	0.67	Pixidio	Español	L1	post9996447	mary b	griego	L2
post15840015	0.71	Natalinya	castellano y gallego	L1	post15839971	blakern1	English - American	L2
post15815317	0.76	Kerena	Spanish	L1	post15815151	Señor K	Español chileno	L1
post15837460	0.66	marcemarto	Italian - Italia	L2	post15837394	blakern1	English - American	L2
post15836831	0.69	Trucutú	Español - El Salvador	L1	post15836768	Latifa987	Russian-Belarus	L2
post15835930	0.64	Kerena	Spanish	L1	post15835085	The Virgin	Arabic	L2
post15834529	0.65	Xiscomx	Español de España y Balear	L1	post15834514	RamonRojo	italiano	L2
post9611304	0.78	gvergara	Español	L1	post9610502	poetpenpassion	Russian - Russia	L2
post15792525	0.68	hual	spanish & french	L1	post15792372	jesurum	Puerto Rico, spanish	L1
post15828642	0.62	ukimix	español	L1	post15828613	popolvuh	Chinese, China	L2
post11188631	0.7	Erreconerre	Mexican Spanish	L1	post11188619	XiaoRoel	galego, español	L1
post4903917	0.74	xqby	English (U.S.)	L2	post4903850	DrZero	Peruvian spanish	L1
post15812390	0.69	S.V.	Español, México	L1	post15811819	beatrice_stop	Griego	L2
post15817226	0.83	rainingmind	Castellano, España	L1	post15817163	The Virgin	Arabic	L2
post15818140	0.83	Kerena	Spanish	L1	post15817327	Imaa.blue	Español	L1
post15816161	0.73	S.V.	Español, México	L1	post15816130	Zhengglad	Chinese-china	L2
post15815743	0.68	flljob	México español	L1	post15814804	conjugación	español	L1
post15808760	0.76	S.V.	Español, México	L1	post15807956	alv	spain	L2
post15808555	0.71	Miguel On Ojj	Castellano	L1	post15808485	tlumic	Czech - Czech Republic	L2
post15807717	0.82	Ayutuxtepeque	Español salvadoreño	L1	post15807680	EllyDicious	Albanian	L2
post15806885	0.63	Natalinya	castellano y gallego	L1	post15806783	The Virgin	Arabic	L2
post15805187	0.76	Explosión_Implosión	Español - España	L1	post15805016	kira555	español-Perú	L1
post15799251	0.68	Xiscomx	Español de España y Balear	L1	post15798628	lyonn	Español	L1
post15792298	0.64	Accipiter	Spanish - Spain	L1	post15792208	Gamen	Spanish Argentina	L1
post15801983	0.77	Miguel On Ojj	Castellano	L1	post15801733	@Dome	Spanish - Mexico	L1
post15791867	0.75	Jonno	Castellano	L1	post15791826	Gamen	Spanish Argentina	L1
post15790774	0.51	sergio11	Spanish (lunfardo)	L1	post15790750	Jasp Galanier	Spanish - Mexico	L1
post15785800	0.71	S.V.	Español, México	L1	post15785670	juan lo	Spanish - Spain	L1
post15775653	0.73	swift	Spanish – Costa Rica (Valle Central)	L1	post15775300	Señor K	Español chileno	L1
post15777544	0.68	Jonno	Castellano	L1	post15777415	Cacophony	Turkish	L2
post1297030	0.76	BETOREYES	Colombia Español	L1	post1295605	nardix	Italian	L2
post15774455	0.67	Kaxgufen	Castellano de Argentina	L1	post15774356	Roumoncalm	Français - Belgique	L2
post15770756	0.69	swift	Spanish – Costa Rica (Valle Central)	L1	post15770729	Señor K	Español chileno	L1
post15767014	0.71	Peón	Castellano	L1	post15766997	Anómimoconn	Spanish-Spain	L1
post15764476	0.59	kunvla	Ruso	L2	post15764455	eleSunRise	Italian - Italy	L2
post15757348	0.6	cacarulo	Buenos Aires, Argentina * Español	L1	post15757323	popolvuh	Chinese, China	L2
post15754399	0.72	ukimix	español	L1	post15754062	bacchebenevenies	Español (Argentina)	L1
post15753692	0.51	ukimix	español	L1	post15753636	bacchebenevenies	Español (Argentina)	L1
post15752532	0.78	Elxenc	català/valencià	L2	post15752301	bacchebenevenies	Español (Argentina)	L1
post15746796	0.7	Namarne	Spanish	L1	post15746500	popolvuh	Chinese, China	L2
post15746536	0.75	Paco26	Spanish-Spain	L1	post15746525	popolvuh	Chinese, China	L2
post15750865	0.8	Jonno	Castellano	L1	post15750763	Gorgiewave	Scotland, English	L2
post15747037	0.79	Miguel On Ojj	Castellano	L1	post15746887	Ruzanna	Russian	L2
post15748661	0.71	soplamocos	Español rioplatense	L1	post15748635	bacchebenevenies	Español (Argentina)	L1
post15746542	0.79	Paco26	Spanish-Spain	L1	post15746532	popolvuh	Chinese, China	L2
post12799639	0.68	Duometri	Spain, Spanish	L1	post12799123	Shaked.ray	Spanish-Spain	L1
post15734760	0.44	Kaxgufen	Castellano de Argentina	L1	post15734712	popolvuh	Chinese, China	L2
post15738868	0.71	Kirjain	Finnish	L2	post15738819	bdorata	italiano	L2
post10867057	0.71	Vampiro	Chile - Español	L1	post10867056	Ishould haveknown	Español de España	L1
post15734398	0.78	ukimix	español	L1	post15734275	Parrot_	Spanish	L1
post15731338	0.68	Aviador	Castellano de Chile	L1	post15730805	Señor K	Español chileno	L1
post15734038	0.68	ukimix	español	L1	post15733947	bacchebenevenies	Español (Argentina)	L1
post15729815	0.62	Gabriel	Argentina / Español	L1	post15729655	Hazaki	Español mexicano	L1
post15730021	0.77	Jonno	Castellano	L1	post15730009	Cincidela	Polish	L2
post15729461	0.67	Kirjain	Finnish	L2	post15729228	Patente	Hebrew	L2
post15724754	0.69	Miguel On Ojj	Castellano	L1	post15724699	ACARAVER	Spanish - Chile	L1
post15724690	0.61	Accipiter	Spanish - Spain	L1	post15717926	bacchebenevenies	Español (Argentina)	L1
post9845793	0.73	Bloodsun	Castellano - Argentina	L1	post9845697	chuchobacc	Venezuela	L2
post15722219	0.66	Jonno	Castellano	L1	post15722133	Javelena	Swedish	L2
post15717564	0.73	Miguel On Ojj	Castellano	L1	post15717498	pregunta000	Polish - Poland	L2
post15716911	0.79	S.V.	Español, México	L1	post15716859	popolvuh	Chinese, China	L2
post15714886	0.7	Jonno	Castellano	L1	post15714678	popolvuh	Chinese, China	L2
post1052784	0.7	tamakun	español	L1	post1052476	tatica66	spanish (colombia)	L1
post8440335	0.76	XiaoRoel	galego, español	L1	post8440226	Arpin	Spanish	L1
post15713693	0.71	Xiscomx	Español de España y Balear	L1	post15713354	LiamHo	Vietnamita	L2
post15709081	0.65	bacchebenevenies	Español (Argentina)	L1	post15708942	Saito_25	Spanish - Spain	L1
post15707507	0.76	jilar	Español	L1	post15707392	The Inquisitive One	Persian	L2
post15707683	0.77	Miguel On Ojj	Castellano	L1	post15707598	The Virgin	Arabic	L2
post15698552	0.66	Quiviscumque	Spanish-Spain	L1	post15698452	Ruzanna	Russian	L2
post15696893	0.54	Jonno	Castellano	L1	post15696814	Ruzanna	Russian	L2
post15645375	0.64	Mayoide	Español	L1	post15645051	beatrice_stop	Griego	L2
post15695009	0.73	Kaxgufen	Castellano de Argentina	L1	post15694812	osa_menor	alemán	L2
post15687018	0.75	Miguel On Ojj	Castellano	L1	post15686986	Nigar555	azerbaiyano	L2
post15685120	0.69	jptorrente	Spanish	L1	post15684988	popolvuh	Chinese, China	L2
post1172074	0.62	aleCcowaN	Castellano - Argentina	L1	post1172030	Aleksandra	Poland-polish	L2
post15680331	0.68	Miguel On Ojj	Castellano	L1	post15679873	yook9311	Korea Republic - Korean	L2
post15648793	0.74	Peón	Castellano	L1	post15648742	The Virgin	Arabic	L2
post15663239	0.74	Namarne	Spanish	L1	post15663177	oculi	Polish - Poland	L2
post15665460	0.66	Miguel On Ojj	Castellano	L1	post15665440	carolinayan	CHINO	L2
post6574927	0.69	Milton Sand	Español (Colombia)	L1	post6574524	Luis Albornoz	Castellano - Argentina	L1
post15656719	0.76	jorgema	Peruvian Spanish	L1	post15654619	Tatiana Rapakulia	Greek	L2
post15653503	0.61	Miguel On Ojj	Castellano	L1	post15653426	Invenuz	Español - México	L1
post15653518	0.76	Miguel On Ojj	Castellano	L1	post15653473	asm	Mexico, Spanish	L1
post15653329	0.56	Miguel On Ojj	Castellano	L1	post15653262	jpaulopf	Português - Brasil	L2
post15649923	0.69	Jonno	Castellano	L1	post15649902	tlumic	Czech - Czech Republic	L2
post15650386	0.72	Jonno	Castellano	L1	post15650180	Erick Cáceres	Español	L1
post15616416	0.66	S.V.	Español, México	L1	post15616376	popolvuh	Chinese, China	L2
post15616523	0.73	Jonno	Castellano	L1	post15616475	popolvuh	Chinese, China	L2
post15643259	0.74	jilar	Español	L1	post15643160	Nigar555	azerbaiyano	L2
post6073271	0.75	Pinairun	Castellano	L1	post6073214	VitroBlue	México, Español	L1
post15646175	0.76	Jonno	Castellano	L1	post15645805	tlumic	Czech - Czech Republic	L2
post15644249	0.68	S.V.	Español, México	L1	post15644219	tlumic	Czech - Czech Republic	L2
post15642123	0.73	Peón	Castellano	L1	post15641900	cooksp87	EEUU English	L2
post15638044	0.71	swift	Spanish – Costa Rica (Valle Central)	L1	post15637948	kokolo	croata	L2
